Asset,TotalDebt,Equity,PaidUpCapital,Revenue,NetProfit,EarningPerShare,ROA,ROE,Period,Symbol
"28,616.17","20,778.43","7,837.73",918.93,"18,495.21",704.62,0.78,2.50,9.34,3Q2556,SGP
"29,602.09","20,518.50","9,083.58",918.93,"19,029.33","1,017.59",1.11,3.50,12.03,4Q2556,SGP
"28,756.94","19,307.59","9,449.35",918.93,"13,549.09",-178.27,-0.18,-0.61,-1.92,1Q2557,SGP
"31,735.28","22,856.22","8,879.07",918.93,"14,730.98",-98.44,-0.11,-0.33,-1.07,2Q2557,SGP
"30,033.59","21,105.94","8,927.65",918.93,"17,453.64",152.79,0.17,0.49,1.72,3Q2557,SGP
"28,243.29","19,874.22","8,369.06",918.93,"16,423.33",-413.41,-0.44,-1.42,-4.78,4Q2557,SGP
"27,412.29","19,105.03","8,307.25",918.93,"12,432.39",1.78,0.00,0.01,0.02,1Q2558,SGP
"26,762.58","17,897.21","8,865.37",918.93,"15,258.42",407.72,0.44,1.51,4.75,2Q2558,SGP
"28,398.24","19,323.88","9,074.35",918.93,"14,097.49",45.59,0.03,0.17,0.51,3Q2558,SGP
"29,098.45","19,323.69","9,774.76",918.93,"16,550.78",687.24,0.74,2.39,7.29,4Q2558,SGP
"28,286.86","18,684.66","9,602.21",918.93,"11,646.14",56.28,0.04,0.20,0.58,1Q2559,SGP
"28,183.58","18,824.64","9,358.94",918.93,"12,482.21",262.99,0.28,0.93,2.77,2Q2559,SGP
"28,362.61","19,414.53","8,948.08",918.93,"10,301.30",-63.65,-0.08,-0.23,-0.70,3Q2559,SGP
"28,556.85","18,756.99","9,799.86",918.93,"13,948.34",909.29,0.98,3.20,9.70,4Q2559,SGP
"30,664.47","20,087.97","10,576.49",918.93,"14,432.25","1,149.78",1.24,3.88,11.29,1Q2560,SGP
"30,119.19","19,943.58","10,175.61",918.93,"13,526.75",-70.88,-0.07,-0.23,-0.68,2Q2560,SGP
"32,606.25","22,125.59","10,480.66",918.93,"14,153.54",856.20,0.92,2.73,8.29,3Q2560,SGP
"31,457.97","20,149.53","11,308.44",918.93,"17,516.88",904.35,0.97,2.82,8.30,4Q2560,SGP
"30,634.10","19,483.97","11,150.13",918.93,"15,744.04",104.86,0.11,0.34,0.93,1Q2561,SGP
"33,778.79","22,647.79","11,131.00",918.93,"16,186.07",776.20,0.36,2.41,6.97,2Q2561,SGP
"38,044.86","27,030.54","11,014.32",918.93,"19,246.26",744.29,0.40,2.07,6.72,3Q2561,SGP
"35,804.44","25,675.63","10,128.81",918.93,"17,927.18",-755.62,-0.40,-2.05,-7.15,4Q2561,SGP
"34,103.02","23,492.24","10,610.78",918.93,"17,756.49",571.64,0.30,1.64,5.51,1Q2562,SGP
"35,355.82","24,563.56","10,792.26",918.93,"16,742.30",-121.83,-0.06,-0.35,-1.14,2Q2562,SGP
"38,020.39","27,727.38","10,293.00",918.93,"15,274.06",-201.71,-0.12,-0.55,-1.91,3Q2562,SGP
"41,439.17","29,550.67","11,888.51",918.93,"17,668.95","1,173.94",0.62,2.95,10.58,4Q2562,SGP
