"Date","Price","Open","High","Low","Vol.","Change %"
"09/14/2021","2,220.47","2,242.26","2,242.79","2,216.93","2.86B","-0.58%"
"09/13/2021","2,233.47","2,236.02","2,250.23","2,226.00","2.66B","-0.28%"
"09/10/2021","2,239.69","2,237.91","2,247.53","2,218.46","2.68B","0.36%"
"09/09/2021","2,231.62","2,246.35","2,260.99","2,228.77","3.05B","-0.89%"
"09/08/2021","2,251.69","2,242.95","2,254.67","2,230.71","2.80B","0.07%"
"09/07/2021","2,250.09","2,274.22","2,281.85","2,246.66","4.23B","-0.70%"
"09/06/2021","2,265.85","2,273.65","2,277.82","2,259.73","3.35B","-0.26%"
"09/03/2021","2,271.81","2,277.64","2,283.84","2,261.40","3.34B","0.16%"
"09/02/2021","2,268.23","2,245.32","2,275.37","2,242.77","3.14B","1.03%"
"09/01/2021","2,245.09","2,260.09","2,265.46","2,236.14","2.94B","-0.43%"
"08/31/2021","2,254.77","2,241.52","2,262.79","2,235.08","3.53B","0.45%"
"08/30/2021","2,244.66","2,226.61","2,248.33","2,225.74","3.61B","1.52%"
"08/27/2021","2,211.09","2,196.02","2,216.74","2,192.35","3.23B","0.71%"
"08/26/2021","2,195.59","2,198.10","2,201.09","2,188.35","2.62B","-0.05%"
"08/25/2021","2,196.79","2,183.18","2,198.18","2,178.12","2.75B","0.90%"
"08/24/2021","2,177.20","2,183.28","2,198.17","2,174.37","3.74B","0.27%"
"08/23/2021","2,171.37","2,144.34","2,172.74","2,144.10","4.50B","2.20%"
"08/20/2021","2,124.53","2,121.97","2,128.00","2,114.64","2.96B","0.54%"
"08/19/2021","2,113.15","2,118.24","2,129.20","2,112.15","2.33B","-0.68%"
"08/18/2021","2,127.71","2,120.31","2,136.85","2,117.73","2.74B","0.51%"
"08/17/2021","2,116.90","2,107.47","2,120.27","2,100.12","2.83B","0.88%"
"08/16/2021","2,098.33","2,090.83","2,102.13","2,072.20","2.96B","0.32%"
"08/13/2021","2,091.67","2,088.77","2,105.71","2,084.68","3.10B","-0.04%"
"08/11/2021","2,092.60","2,115.67","2,118.58","2,090.97","3.52B","-0.58%"
"08/10/2021","2,104.74","2,107.86","2,118.06","2,099.96","3.27B","0.12%"
"08/09/2021","2,102.31","2,085.26","2,107.94","2,079.58","2.02B","1.28%"
"08/06/2021","2,075.78","2,087.39","2,099.19","2,064.93","2.35B","-0.38%"
"08/05/2021","2,083.64","2,112.10","2,116.51","2,082.79","2.24B","-1.46%"
"08/04/2021","2,114.57","2,108.79","2,119.82","2,095.77","1.96B","0.35%"
"08/03/2021","2,107.14","2,088.46","2,107.14","2,086.36","2.46B","0.97%"
"08/02/2021","2,086.95","2,083.32","2,087.56","2,067.72","2.21B","0.37%"
"07/30/2021","2,079.28","2,096.61","2,100.42","2,072.37","3.25B","-0.94%"
"07/29/2021","2,099.09","2,104.24","2,109.21","2,091.47","2.89B","0.06%"
"07/27/2021","2,097.73","2,114.28","2,120.44","2,087.61","2.13B","-0.65%"
"07/23/2021","2,111.53","2,121.28","2,125.51","2,105.08","2.34B","-0.65%"
"07/22/2021","2,125.31","2,123.21","2,128.97","2,115.78","2.59B","0.77%"
"07/21/2021","2,109.02","2,110.10","2,114.33","2,095.75","3.01B","0.18%"
"07/20/2021","2,105.27","2,121.80","2,123.73","2,094.31","3.85B","-1.11%"
"07/19/2021","2,128.90","2,132.02","2,140.60","2,121.70","2.72B","-1.20%"
"07/16/2021","2,154.70","2,147.41","2,157.67","2,144.11","3.93B","0.08%"
"07/15/2021","2,153.02","2,157.87","2,165.59","2,150.05","2.51B","0.14%"
"07/14/2021","2,150.07","2,154.73","2,158.25","2,139.88","2.52B","-0.28%"
"07/13/2021","2,156.05","2,139.05","2,159.02","2,135.80","2.84B","1.36%"
"07/12/2021","2,127.12","2,140.15","2,144.75","2,118.79","3.37B","-0.18%"
"07/09/2021","2,130.97","2,114.84","2,139.37","2,111.24","4.28B","0.50%"
"07/08/2021","2,120.32","2,147.10","2,151.72","2,114.79","5.68B","-2.06%"
"07/07/2021","2,164.89","2,171.95","2,178.43","2,159.87","3.32B","-0.82%"
"07/06/2021","2,182.76","2,179.52","2,190.33","2,177.98","2.08B","0.65%"
"07/05/2021","2,168.58","2,169.56","2,172.57","2,158.40","2.13B","0.10%"
"07/02/2021","2,166.37","2,180.62","2,189.07","2,159.37","3.09B","-0.86%"
"07/01/2021","2,185.11","2,181.92","2,191.16","2,171.72","3.39B","0.36%"
"06/30/2021","2,177.34","2,193.00","2,198.37","2,171.17","3.31B","-0.35%"
"06/29/2021","2,184.92","2,172.20","2,193.21","2,170.01","2.67B","0.73%"
"06/28/2021","2,169.13","2,162.64","2,174.45","2,151.45","3.25B","-0.31%"
"06/25/2021","2,175.86","2,189.56","2,194.69","2,169.15","2.70B","-0.20%"
"06/24/2021","2,180.21","2,180.59","2,183.70","2,158.40","3.87B","-0.34%"
"06/23/2021","2,187.62","2,205.08","2,206.91","2,185.02","3.21B","-0.33%"
"06/22/2021","2,194.80","2,210.48","2,214.67","2,194.11","3.52B","-0.08%"
"06/21/2021","2,196.54","2,191.19","2,198.43","2,181.99","4.40B","-0.80%"
"06/18/2021","2,214.30","2,222.35","2,226.47","2,201.01","5.14B","-0.24%"
"06/17/2021","2,219.57","2,225.02","2,239.79","2,216.89","3.27B","-0.55%"
"06/16/2021","2,231.89","2,229.13","2,242.58","2,223.32","4.11B","0.16%"
"06/15/2021","2,228.30","2,248.31","2,250.94","2,223.02","3.87B","-0.86%"
"06/14/2021","2,247.66","2,259.47","2,261.52","2,240.50","5.00B","-0.18%"
"06/11/2021","2,251.77","2,242.04","2,252.38","2,238.07","3.86B","0.87%"
"06/10/2021","2,232.44","2,244.38","2,251.06","2,230.46","4.12B","-0.16%"
"06/09/2021","2,236.10","2,223.30","2,239.66","2,223.02","3.41B","0.91%"
"06/08/2021","2,216.04","2,218.36","2,225.21","2,203.49","5.74B","0.02%"
"06/07/2021","2,215.61","2,224.51","2,235.85","2,213.76","3.58B","0.07%"
"06/04/2021","2,214.16","2,219.15","2,232.01","2,213.83","3.67B","-0.58%"
"06/02/2021","2,227.05","2,240.20","2,243.97","2,220.60","4.97B","-0.20%"
"06/01/2021","2,231.56","2,204.00","2,234.46","2,196.79","3.69B","1.91%"
"05/31/2021","2,189.79","2,176.71","2,192.31","2,168.54","2.44B","0.61%"
"05/28/2021","2,176.58","2,190.14","2,196.95","2,173.49","2.94B","-0.13%"
"05/27/2021","2,179.34","2,160.61","2,188.25","2,157.04","4.25B","0.97%"
"05/25/2021","2,158.33","2,148.77","2,162.93","2,143.15","2.48B","1.27%"
"05/24/2021","2,131.21","2,136.21","2,143.86","2,124.31","2.53B","-0.09%"
"05/21/2021","2,133.16","2,142.82","2,143.87","2,121.96","3.11B","-0.12%"
"05/20/2021","2,135.63","2,149.29","2,155.18","2,133.96","3.11B","-0.43%"
"05/19/2021","2,144.85","2,144.84","2,157.46","2,139.30","2.92B","-0.45%"
"05/18/2021","2,154.56","2,147.86","2,161.06","2,145.14","2.86B","1.10%"
"05/17/2021","2,131.20","2,121.30","2,139.94","2,104.20","2.90B","0.03%"
"05/14/2021","2,130.59","2,139.09","2,143.87","2,106.08","3.34B","0.03%"
"05/13/2021","2,129.97","2,136.39","2,145.72","2,067.45","5.04B","-1.54%"
"05/12/2021","2,163.29","2,168.24","2,172.21","2,139.50","3.63B","-0.40%"
"05/11/2021","2,171.96","2,165.09","2,185.20","2,153.64","3.39B","-0.41%"
"05/10/2021","2,180.97","2,192.63","2,192.94","2,161.24","2.61B","0.37%"
"05/07/2021","2,172.90","2,167.83","2,179.46","2,159.30","2.62B","1.00%"
"05/06/2021","2,151.46","2,123.49","2,158.70","2,120.16","2.77B","1.61%"
"05/05/2021","2,117.45","2,169.28","2,171.82","2,114.31","4.19B","-2.58%"
"04/30/2021","2,173.52","2,190.59","2,193.37","2,172.42","3.00B","-0.81%"
"04/29/2021","2,191.34","2,181.64","2,195.02","2,180.21","4.10B","1.02%"
